name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
"Gonsolin, Tony",664062,2023,435,306,0.226,0.275,-0.049,0.415,0.507,-0.092,0.312,0.366,-0.054,4.98,5.89,-0.909
"Cabrera, Edward",665795,2023,434,246,0.215,0.199,0.016,0.355,0.33,0.025,0.315,0.3,0.015,4.24,3.77,0.474
"King, Michael",650633,2023,431,267,0.226,0.227,-0.001,0.346,0.364,-0.018,0.281,0.289,-0.008,2.75,3.48,-0.728
"Wood, Alex",622072,2023,429,305,0.263,0.257,0.006,0.421,0.41,0.011,0.335,0.331,0.004,4.33,4.67,-0.339
"Maeda, Kenta",628317,2023,428,280,0.239,0.231,0.008,0.429,0.407,0.022,0.309,0.299,0.01,4.23,3.74,0.487
"Sale, Chris",519242,2023,425,263,0.227,0.211,0.016,0.417,0.38,0.037,0.306,0.294,0.012,4.29,3.61,0.685
"Olson, Reese",681857,2023,422,285,0.215,0.254,-0.039,0.373,0.458,-0.085,0.283,0.333,-0.05,3.99,4.73,-0.736
"Pfaadt, Brandon",694297,2023,421,298,0.282,0.253,0.029,0.534,0.458,0.076,0.362,0.325,0.037,5.72,4.48,1.239
"DeSclafani, Anthony",543101,2023,419,315,0.271,0.286,-0.015,0.456,0.486,-0.03,0.328,0.347,-0.019,4.88,5.2,-0.324
"Carrasco, Carlos",471911,2023,417,307,0.31,0.307,0.003,0.531,0.525,0.006,0.39,0.388,0.002,6.8,6.77,0.03
"Severino, Luis",622663,2023,417,298,0.301,0.286,0.015,0.555,0.496,0.059,0.39,0.366,0.024,6.65,5.89,0.759
"Manoah, Alek",666201,2023,415,268,0.269,0.266,0.003,0.46,0.465,-0.005,0.37,0.372,-0.002,5.87,6.12,-0.246
"Paxton, James",572020,2023,411,273,0.25,0.229,0.021,0.452,0.39,0.062,0.328,0.3,0.028,4.5,3.77,0.73
"Seabold, Connor",657756,2023,408,306,0.317,0.273,0.044,0.563,0.473,0.09,0.393,0.345,0.048,7.52,5.13,2.393
